Clust_ID,Num_Seqs,"2004","2005","2006","2007","2008","2009","2010","2011","2012","Year_NA","North","South","Tropical","Region_NA","NorthAmerica","Asia","Africa","Europe","Oceania","SouthAmerica","Continent_NA"
21,3,0,2,1,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0
20,7,3,4,0,0,0,0,0,0,0,0,2,3,2,0,2,2,0,0,3,0,0
64,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0
65,2,0,0,0,0,0,2,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0
62,2,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0
63,3,0,0,0,0,1,2,0,0,0,0,3,0,0,0,1,2,0,0,0,0,0
60,4,0,0,0,0,4,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0
61,8,0,0,0,5,3,0,0,0,0,0,8,0,0,0,8,0,0,0,0,0,0
49,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0
48,4,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0
45,3,0,0,0,3,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0
44,7,0,0,0,5,2,0,0,0,0,0,3,0,4,0,0,7,0,0,0,0,0
93,4,0,0,0,0,0,0,2,2,0,0,1,0,3,0,1,0,0,0,0,3,0
47,2,0,0,0,2,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0
92,2,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,2,0,0,0,0
46,2,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0
91,3,0,0,0,0,0,0,0,1,2,0,2,0,1,0,1,2,0,0,0,0,0
90,22,0,0,0,0,0,3,6,13,0,0,14,1,7,0,13,7,1,0,1,0,0
10,27,1,23,1,2,0,0,0,0,0,0,6,19,2,0,4,3,0,1,19,0,0
51,2,0,0,0,0,2,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0
52,2,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0
53,2,0,0,0,0,2,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0
54,2,0,0,0,0,2,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0
88,5,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,5,0,0,0,0,0
50,5,0,0,0,5,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0
89,73,0,0,0,0,0,0,1,56,16,0,18,0,55,0,0,68,0,5,0,0,0
